資料集,演算法,平均準確率,標準差
線性可分離,決策樹 (depth=3),0.925,0.04183300132670378
線性可分離,決策樹 (depth=5),0.925,0.03872983346207416
線性可分離,決策樹 (depth=None),0.915,0.053851648071345036
線性可分離,隨機森林 (n=50),0.915,0.040620192023179805
線性可分離,隨機森林 (n=100),0.915,0.040620192023179805
線性可分離,隨機森林 (n=500),0.915,0.040620192023179805
線性可分離,XGBoost (lr=0.01),0.905,0.04
線性可分離,XGBoost (lr=0.1),0.915,0.033911649915626334
線性可分離,XGBoost (lr=0.3),0.915,0.04636809247747852
新月形,決策樹 (depth=3),0.89,0.05830951894845299
新月形,決策樹 (depth=5),0.9549999999999998,0.029154759474226483
新月形,決策樹 (depth=None),0.9650000000000001,0.03391164991562632
新月形,隨機森林 (n=50),0.9650000000000001,0.020000000000000018
新月形,隨機森林 (n=100),0.975,0.01581138830084191
新月形,隨機森林 (n=500),0.9700000000000001,0.018708286933869726
新月形,XGBoost (lr=0.01),0.8700000000000001,0.05567764362830023
新月形,XGBoost (lr=0.1),0.9700000000000001,0.03674234614174766
新月形,XGBoost (lr=0.3),0.9700000000000001,0.03674234614174766
同心圓,決策樹 (depth=3),0.72,0.03674234614174768
同心圓,決策樹 (depth=5),0.8149999999999998,0.04636809247747851
同心圓,決策樹 (depth=None),0.905,0.029154759474226494
同心圓,隨機森林 (n=50),0.825,0.0570087712549569
同心圓,隨機森林 (n=100),0.825,0.0570087712549569
同心圓,隨機森林 (n=500),0.835,0.06041522986797286
同心圓,XGBoost (lr=0.01),0.825,0.03535533905932736
同心圓,XGBoost (lr=0.1),0.925,0.02236067977499787
同心圓,XGBoost (lr=0.3),0.9349999999999999,0.01999999999999997
