C,Gamma,平均準確率,標準差
1,1,1.0,0.0
0.1,100,1.0,0.0
100,10,1.0,0.0
100,1,1.0,0.0
10,100,1.0,0.0
10,10,1.0,0.0
10,1,1.0,0.0
1,100,1.0,0.0
1,10,1.0,0.0
100,100,1.0,0.0
0.1,10,1.0,0.0
0.01,100,1.0,0.0
0.01,10,1.0,0.0
100,0.1,0.9949999999999999,0.010000000000000009
0.1,1,0.93,0.039999999999999994
10,0.1,0.8949999999999999,0.02915475947422653
100,0.01,0.885,0.037416573867739444
10,0.01,0.875,0.047434164902525694
0.01,1,0.875,0.047434164902525694
1,0.1,0.8700000000000001,0.05099019513592786
1,0.01,0.8099999999999999,0.060415229867972875
0.1,0.1,0.805,0.06595452979136462
0.01,0.1,0.79,0.04898979485566357
0.1,0.01,0.7699999999999999,0.04
0.01,0.01,0.7699999999999999,0.04
